index,cliente,latitud,longitud,fin_visita,order
12696,20,-34.6260966391542,-58.4491407160505,2024-05-23 13:07:24,104
11733,70,-34.5769398789268,-58.4885883303212,2024-05-23 13:09:19,105
4112,20,-34.6341862453261,-58.4162037812956,2024-05-23 13:11:33,106
676,70,-34.6083359168487,-58.5156706158645,2024-05-23 13:13:13,107
20731,20,-34.6178879559136,-58.3800134188884,2024-05-23 13:13:19,108
21471,20,-34.6173587364311,-58.3803132187145,2024-05-23 13:13:19,109
17095,20,-34.638961,-58.470204,2024-05-23 13:13:26,110
11515,20,-34.5983705,-58.4066369,2024-05-23 13:16:06,111
690,70,-34.5873968672545,-58.5095161658522,2024-05-23 13:16:24,112
23172,20,-34.6126206244809,-58.4345234042749,2024-05-23 13:19:26,113
20696,70,-34.5608452098999,-58.4572525135038,2024-05-23 13:20:32,114
14831,20,-34.6291432410667,-58.4567020522439,2024-05-23 13:21:05,115
780,70,-34.5800136499255,-58.4921070810669,2024-05-23 13:22:19,116
11696,70,-34.558899411198,-58.4536647305661,2024-05-23 13:22:32,117
4200,20,-34.6436844,-58.4188102,2024-05-23 13:22:39,118
22771,20,-34.646011008393,-58.4672802628544,2024-05-23 13:23:26,119
969,70,-34.5896015050546,-58.5075222112423,2024-05-23 13:25:24,120
20029,20,-34.6118078477546,-58.4321859024495,2024-05-23 13:25:26,121
12555,20,-34.627401,-58.456274,2024-05-23 13:26:21,122
21755,20,-34.6000788080405,-58.4043313612016,2024-05-23 13:28:54,123
342,70,-34.5903664977566,-58.5047632643742,2024-05-23 13:29:24,124
8060,70,-34.5563036462256,-58.4472133450757,2024-05-23 13:30:19,125
543,70,-34.5598404187997,-58.4530734353259,2024-05-23 13:32:19,126
4237,20,-34.6415074047014,-58.4126976272323,2024-05-23 13:33:39,127
25336,70,-34.5816395503423,-58.4872715975095,2024-05-23 13:34:44,128
14797,20,-34.6155022,-58.3884377,2024-05-23 13:36:06,129
13350,20,-34.6350599400926,-58.4781155389048,2024-05-23 13:36:26,130
17413,20,-34.621784,-58.459982,2024-05-23 13:42:55,131
19754,70,-34.5800149795024,-58.4872810464929,2024-05-23 13:43:44,132
14436,20,-34.6337196745058,-58.481137343248,2024-05-23 13:46:26,133
10870,20,-34.601095,-58.395605,2024-05-23 13:48:07,134
3937,20,-34.608803,-58.44371,2024-05-23 13:48:26,135
456,70,-34.592301343468,-58.50094278721,2024-05-23 13:49:24,136
7772,70,-34.5923307996815,-58.5006912375259,2024-05-23 13:49:24,137
14472,70,-34.5618873,-58.4609052,2024-05-23 13:50:40,138
940,70,-34.5798486536684,-58.4846827974882,2024-05-23 13:50:41,139
16272,20,-34.6211253878297,-58.4606423022386,2024-05-23 13:51:20,140
7709,70,-34.6117930200431,-58.5280321669836,2024-05-23 13:51:23,141
13418,70,-34.6119036088889,-58.5278814664296,2024-05-23 13:51:23,142
910,70,-34.5776894650921,-58.4865241676903,2024-05-23 13:52:41,143
26443,20,-34.6185517850934,-58.3715043274201,2024-05-23 13:53:03,144
8105,70,-34.6127814436787,-58.5232789409725,2024-05-23 13:54:23,145
18042,20,-34.6061544460191,-58.4467016506712,2024-05-23 13:55:26,146
23670,20,-34.6032780185228,-58.3938907533371,2024-05-23 13:56:07,147
4099,20,-34.6483675557916,-58.4163739456611,2024-05-23 13:56:19,148
10716,20,-34.634475,-58.484266,2024-05-23 13:56:26,149
13506,70,-34.5916512691624,-58.4974620867979,2024-05-23 13:57:24,150
26776,70,-34.5616668037062,-58.4626378629534,2024-05-23 13:58:50,151
20098,20,-34.6075998252842,-58.3921484954245,2024-05-23 14:01:07,152
20479,20,-34.6230732729757,-58.3728307922812,2024-05-23 14:01:40,153
10899,20,-34.635523,-58.488603,2024-05-23 14:04:26,154
3810,20,-34.609318,-58.449598,2024-05-23 14:04:58,155
3754,20,-34.610804,-58.452742,2024-05-23 14:06:37,156
25308,20,-34.6114723839448,-58.4538902022406,2024-05-23 14:07:37,157
12536,20,-34.606719,-58.446271,2024-05-23 14:07:55,158
516,70,-34.576351959808,-58.4861654310687,2024-05-23 14:08:41,159
22550,20,-34.6043043226247,-58.3895288587494,2024-05-23 14:09:58,160
25748,20,-34.5761690251693,-58.4835552705498,2024-05-23 14:11:41,161
8009,70,-34.6171972265415,-58.5249070551721,2024-05-23 14:12:53,162
7790,70,-34.5648672053581,-58.4613227944433,2024-05-23 14:13:53,163
8114,70,-34.5876886319921,-58.4986123918328,2024-05-23 14:14:24,164
0,70,-34.5647792239184,-58.4599557029796,2024-05-23 14:14:53,165
12107,20,-34.6039179998344,-58.3839658293911,2024-05-23 14:17:34,166
7654,70,-34.5777690192161,-58.4811680994755,2024-05-23 14:17:42,167
12756,20,-34.6143356972988,-58.4608509243842,2024-05-23 14:18:59,168
16539,20,-34.6347490871924,-58.4963847916958,2024-05-23 14:19:26,169
26202,20,-34.6307011328443,-58.3719473193686,2024-05-23 14:20:22,170
26201,20,-34.6307011328443,-58.3719473193686,2024-05-23 14:20:22,171
11852,70,-34.587206094891,-58.4945021630397,2024-05-23 14:23:24,172
11577,20,-34.6328913241811,-58.4896352175842,2024-05-23 14:23:26,173
12653,20,-34.6515758659181,-58.4177913722024,2024-05-23 14:24:07,174
521,70,-34.5654298088809,-58.4553536793387,2024-05-23 14:24:53,175
889,70,-34.5865156487309,-58.4916300594774,2024-05-23 14:27:24,176
12782,20,-34.6122016906738,-58.4737243652344,2024-05-23 14:29:28,177
16467,20,-34.631673,-58.492375,2024-05-23 14:31:26,178
21041,20,-34.6368462353179,-58.359949042872,2024-05-23 14:33:16,179
17107,20,-34.6541443606243,-58.4166430913497,2024-05-23 14:33:38,180
16479,70,-34.6113977347997,-58.5205714569674,2024-05-23 14:34:16,181
13482,70,-34.5718802045829,-58.4731957363261,2024-05-23 14:38:06,182
16607,20,-34.622273,-58.495197,2024-05-23 14:40:26,183
19340,70,-34.567251196026,-58.4585290171056,2024-05-23 14:40:52,184
15910,70,-34.5841505198832,-58.4874840440992,2024-05-23 14:41:24,185
25372,20,-34.5891812334689,-58.3841240844248,2024-05-23 14:41:36,186
24314,20,-34.6085749099578,-58.4704229875292,2024-05-23 14:42:50,187
20317,70,-34.5681396288475,-58.4756990972396,2024-05-23 14:43:06,188
50,70,-34.604094,-58.5082703,2024-05-23 14:43:16,189
735,70,-34.5840953757966,-58.4895089557788,2024-05-23 14:43:24,190
9798,20,-34.6432050739766,-58.3686910386952,2024-05-23 14:43:44,191
57,70,-34.6049834570708,-58.5030185977437,2024-05-23 14:44:16,192
21179,20,-34.607411,-58.470925,2024-05-23 14:45:42,193
15303,20,-34.6543140820079,-58.4196170295846,2024-05-23 14:46:21,194
11208,20,-34.6275160957112,-58.4899682830263,2024-05-23 14:58:26,195
23078,20,-34.6434896012463,-58.4414091862967,2024-05-23 15:01:10,196
25982,20,-34.6270097034247,-58.4861423919468,2024-05-23 15:06:26,197
4156,20,-34.6418724060059,-58.4460754394531,2024-05-23 15:14:05,198
10908,20,-34.631426,-58.481363,2024-05-23 15:17:26,199
11416,20,-34.629581451416,-58.4793586730957,2024-05-23 15:24:26,200
26489,20,-34.6283611761,-58.4788019247706,2024-05-23 15:31:26,201
6056,20,-34.525157,-58.47202,2024-05-23 15:39:00,202
14670,20,-34.617018206635,-58.4430005879173,2024-05-23 15:39:00,203
20438,20,-34.5556390948642,-58.450533667964,2024-05-23 15:39:00,204
19557,20,-34.5335862663682,-58.4781792187821,2024-05-23 15:39:00,205
7875,70,-34.5666903391127,-58.4620122951909,2024-05-23 15:39:00,206
7909,70,-34.5645046713379,-58.4657922852661,2024-05-23 15:39:00,207
18255,20,-34.5360203543018,-58.4980984355994,2024-05-23 15:39:00,208
17066,20,-34.5287196446355,-58.4933196313709,2024-05-23 15:39:00,209
9928,20,-34.4885729619816,-58.4985714058048,2024-05-23 15:39:00,210
19725,20,-34.5232508626246,-58.4745070539432,2024-05-23 15:39:00,211
18463,20,-34.5578408438454,-58.4494796529476,2024-05-23 15:39:00,212
18574,20,-34.514651429013,-58.4884908625321,2024-05-23 15:39:00,213
18599,20,-34.5102081298828,-58.5187950134277,2024-05-23 15:39:00,214
9800,20,-34.4910656,-58.499513,2024-05-23 15:39:00,215
8018,70,-34.5864011967188,-58.4848593072226,2024-05-23 15:39:00,216
3679,20,-34.5160500166187,-58.4758011738159,2024-05-23 15:39:00,217
14489,70,-34.5679352248243,-58.4808132948559,2024-05-23 15:39:00,218
1265,20,-34.562729,-58.457713,2024-05-23 15:39:00,219
14971,20,-34.552384,-58.460876,2024-05-23 15:39:00,220
15073,20,-34.5171734,-58.4758532,2024-05-23 15:39:00,221
489,70,-34.5706942180314,-58.479995648222,2024-05-23 15:39:00,222
25315,70,-34.5676879720143,-58.457451549527,2024-05-23 15:39:00,223
13439,70,-34.5654796010398,-58.4639041952761,2024-05-23 15:39:00,224
25085,20,-34.4880127896823,-58.4961094674861,2024-05-23 15:39:00,225
15690,70,-34.5886407543058,-58.4788666312206,2024-05-23 15:39:00,226
24758,70,-34.5698116323286,-58.4833663854937,2024-05-23 15:39:00,227
23922,20,-34.5258794428409,-58.4876695585974,2024-05-23 15:39:00,228
15930,70,-34.5886407543058,-58.4788666312206,2024-05-23 15:39:00,229
16231,20,-34.517737,-58.498827,2024-05-23 15:39:00,230
16266,20,-34.5251605686274,-58.5071106603716,2024-05-23 15:39:00,231
16268,20,-34.509240861984,-58.4778725886129,2024-05-23 15:39:00,232
12780,20,-34.507660274986,-58.4811508732666,2024-05-23 15:39:00,233
16369,20,-34.5424226313574,-58.4998009752927,2024-05-23 15:39:00,234
16402,20,-34.49732,-58.49753,2024-05-23 15:39:00,235
12660,20,-34.6159722373474,-58.4390151589403,2024-05-23 15:39:00,236
11911,70,-34.5846194582018,-58.4891495875451,2024-05-23 15:39:00,237
9787,20,-34.5228842228337,-58.4737224077889,2024-05-23 15:39:00,238
16562,20,-34.542216349473,-58.4427956398577,2024-05-23 15:39:00,239
22512,70,-34.5581804038894,-58.4476263623418,2024-05-23 15:39:00,240
22312,70,-34.5672714714411,-58.4633011899837,2024-05-23 15:39:00,241
981,70,-34.5572148408896,-58.4457709002726,2024-05-23 15:39:00,242
22814,70,-34.5983026563061,-58.4976961055122,2024-05-23 15:41:00,243
7807,70,-34.5997411890635,-58.5020511635639,2024-05-23 15:41:00,244
7831,70,-34.6013512292834,-58.5046542909061,2024-05-23 15:41:00,245
26792,20,-34.5997394096856,-58.3998220387842,2024-05-23 15:43:00,246
6312,20,-34.600007,-58.466437,2024-05-23 15:43:00,247
6323,20,-34.588976,-58.392734,2024-05-23 15:43:00,248
15804,20,-34.5874954135944,-58.4298275878806,2024-05-23 15:43:00,249
4064,20,-34.607615444111,-58.4771032316712,2024-05-23 15:43:00,250
4223,20,-34.606327,-58.4758116,2024-05-23 15:43:00,251
23703,20,-34.5812331814264,-58.442705466781,2024-05-23 15:43:00,252
16612,20,-34.6050331954251,-58.4734145185636,2024-05-23 15:43:00,253
1649,20,-34.585565,-58.437799,2024-05-23 15:43:00,254
14983,20,-34.602317,-58.469658,2024-05-23 15:43:00,255
18898,20,-34.5998907702614,-58.4661245948812,2024-05-23 15:43:00,256
15851,20,-34.607045,-58.465735,2024-05-23 15:43:00,257
12519,20,-34.6249505747541,-58.4789271497321,2024-05-23 15:43:26,258
26232,20,-34.6364033207777,-58.4005067905126,2024-05-23 15:50:00,259
26762,20,-34.6429251130587,-58.3877059336772,2024-05-23 15:50:00,260
24420,20,-34.6376647119347,-58.4091602601607,2024-05-23 15:50:00,261
13799,20,-34.6383500470555,-58.4050245255141,2024-05-23 15:50:00,262
20018,20,-34.6007070111655,-58.3717366728824,2024-05-23 15:54:00,263
10011,20,-34.6064203418064,-58.3766646169618,2024-05-23 15:54:00,264
6437,20,-34.599779,-58.375058,2024-05-23 15:54:00,265
26770,20,-34.620356123981,-58.3662846491364,2024-05-23 15:54:00,266
19965,20,-34.5978637041735,-58.3732268909364,2024-05-23 15:54:00,267
22994,70,-34.5597254620368,-58.4616054220145,2024-05-23 15:58:00,268
13368,70,-34.5559429814302,-58.4956715564813,2024-05-23 15:58:00,269
