index,cliente,latitud,longitud,fin_visita,order
852,70,-34.6279983520508,-58.4852828979492,2024-05-30 14:15:11,130
22754,70,-34.5544630974536,-58.4633416525061,2024-05-30 14:15:18,131
1592,20,-34.4755609685195,-58.5337486886139,2024-05-30 14:16:34,132
26069,20,-34.6238955682253,-58.4303460862792,2024-05-30 14:20:10,133
14699,20,-34.583171,-58.47696,2024-05-30 14:21:49,134
22180,20,-34.6539063603519,-58.5194216465316,2024-05-30 14:23:07,135
25848,20,-34.5689733870099,-58.4381920035487,2024-05-30 14:23:21,136
7833,70,-34.6013512292834,-58.5046542909061,2024-05-30 14:28:57,137
12050,20,-34.4633471020272,-58.5341925309409,2024-05-30 14:31:34,138
7948,70,-34.631426191954,-58.4813625027797,2024-05-30 14:32:05,139
20945,20,-34.6546179789073,-58.5148645802622,2024-05-30 14:32:55,140
23282,70,-34.5499257779083,-58.4672929322538,2024-05-30 14:33:21,141
26907,20,-34.6105818972169,-58.361918607338,2024-05-30 14:37:19,142
11118,20,-34.610582,-58.361919,2024-05-30 14:37:19,143
9,70,-34.5511536536372,-58.4659861995474,2024-05-30 14:37:41,144
26756,20,-34.623688471325,-58.4161550851574,2024-05-30 14:39:20,145
23772,20,-34.5846255577557,-58.4719441684716,2024-05-30 14:39:46,146
157,70,-34.6074201271685,-58.5183007492674,2024-05-30 14:39:57,147
20068,20,-34.6133340194579,-58.3615922870242,2024-05-30 14:44:12,148
16778,20,-34.5724413,-58.4306693,2024-05-30 14:44:21,149
25276,20,-34.6508741471894,-58.5091310257478,2024-05-30 14:44:46,150
8039,70,-34.5612119921116,-58.4670147785164,2024-05-30 14:46:24,151
22313,70,-34.5672714714411,-58.4633011899837,2024-05-30 14:48:00,152
22453,20,-34.4594994198734,-58.5291865526082,2024-05-30 14:49:27,153
22926,20,-34.6468124234631,-58.5042095239081,2024-05-30 14:50:41,154
16477,70,-34.6113977347997,-58.5205714569674,2024-05-30 14:50:50,155
26421,20,-34.6154802567552,-58.3621328986149,2024-05-30 14:51:12,156
418,70,-34.5549832398157,-58.4521242729122,2024-05-30 14:59:26,157
26905,20,-34.6501519576728,-58.4055540409554,2024-05-30 15:00:58,158
12076,20,-34.4510705445005,-58.5410249026543,2024-05-30 15:01:27,159
13383,70,-34.6059385015097,-58.5117798871716,2024-05-30 15:02:52,160
12005,20,-34.448939,-58.544804,2024-05-30 15:05:27,161
24927,20,-34.5823497610761,-58.4722007847984,2024-05-30 15:06:28,162
7932,70,-34.6250306108145,-58.4630615321942,2024-05-30 15:07:23,163
19641,70,-34.6243189692665,-58.4618426737082,2024-05-30 15:08:23,164
25289,20,-34.6454609013998,-58.5093550904128,2024-05-30 15:09:21,165
21936,20,-34.5775705199862,-58.4220827043304,2024-05-30 15:10:21,166
8064,70,-34.5563036462256,-58.4472133450757,2024-05-30 15:11:29,167
18399,20,-34.6071565780459,-58.3668320501033,2024-05-30 15:16:12,168
7897,70,-34.6214337873223,-58.4620992857664,2024-05-30 15:16:23,169
11684,70,-34.6011263002522,-58.5116942821312,2024-05-30 15:17:16,170
25756,20,-34.6223950536177,-58.3845026404735,2024-05-30 15:17:17,171
352,70,-34.6215620213788,-58.4636969108504,2024-05-30 15:28:43,172
18028,20,-34.6451968601231,-58.5116489067781,2024-05-30 15:29:42,173
21567,20,-34.6070766720729,-58.3754113944844,2024-05-30 15:30:12,174
8096,70,-34.6019773728449,-58.5127771247577,2024-05-30 15:30:12,175
15900,70,-34.5510629467399,-58.4542499609284,2024-05-30 15:34:40,176
25666,20,-34.5737819342051,-58.4038864449781,2024-05-30 15:38:23,177
7914,70,-34.6195212406495,-58.4615580257443,2024-05-30 15:39:43,178
16403,20,-34.599407,-58.387677,2024-05-30 15:42:12,179
1786,20,-34.4439929234714,-58.5559971411852,2024-05-30 15:45:23,180
18412,20,-34.6491476844833,-58.5143434782501,2024-05-30 15:48:00,181
12000,20,-34.6492,-58.514402,2024-05-30 15:48:00,182
19629,20,-34.5992677830306,-58.3897638342558,2024-05-30 15:48:12,183
26113,20,-34.5779507501748,-58.4059395126118,2024-05-30 15:49:23,184
13473,70,-34.6199944481192,-58.4682614569324,2024-05-30 15:50:44,185
18179,70,-34.5983218832392,-58.4854900041605,2024-05-30 15:52:00,186
7737,70,-34.6161883606165,-58.4652647313639,2024-05-30 15:55:43,187
26572,20,-34.5925040069004,-58.4759003859991,2024-05-30 16:00:39,188
20487,70,-34.5762449676993,-58.5043287717493,2024-05-30 16:01:00,189
20358,70,-34.5858029066261,-58.50662321868,2024-05-30 16:01:00,190
967,70,-34.5896015050546,-58.5075222112423,2024-05-30 16:01:00,191
7773,70,-34.5923307996815,-58.5006912375259,2024-05-30 16:01:00,192
